FPR TPR th
0.9958734049272547 0.9993227538454037 1
0.9938686841872376 0.9990301835066181 2
0.9919394081157812 0.9986969783985566 3
0.9900962369491934 0.9983827361828239 4
0.9883404417781605 0.9980793299055648 5
0.9866738939306375 0.9977921775360159 6
0.9850948518218327 0.9974481364894811 7
0.9835990784827910 0.9971718200584057 8
0.9821865862433167 0.9968792497196201 9
0.0190023812241904 0.9962968180266673 10
0.0164119421200561 0.9957631480568453 11
0.0141654728777788 0.9951969702716028 12
0.0122201512479663 0.9946768452248728 13
0.0105410595063767 0.9940781596242096 14
0.0090911505156012 0.9935553255928613 15
0.0078421153262541 0.9931760677462873 16
0.0067649326625557 0.9927697200535295 17
0.0058376176435974 0.9924392239300865 18
0.0050384919522292 0.9920978918681700 19
0.0040835716233724 0.9916156926060974 20
0.0033122941950827 0.9912147628825764 21
0.0026884044396249 0.9909330284822643 22
0.0021824744779155 0.9906242042357684 23
0.0017732519314827 0.9903641417124034 24
0.0014402640017246 0.9901338780198407 25
0.0011701605935373 0.9899144502657514 26
0.0009504869237092 0.9897139854039909 27
0.0007717865931435 0.9895677002345981 28
0.0006261730109499 0.9894105791267317 29
0.0005073310757817 0.9892263681726815 30
0.0004105650939370 0.9890475751878681 31
0.0003316876958991 0.9889446337723694 32
0.0002677344045138 0.9888660732184362 33
0.0002158138807816 0.9887577138337008 34
0.0001739869828264 0.9886574814028206 35
0.0001400769398254 0.9885735028796506 36
0.0001124478109877 0.9885030692795727 37
0.0000901835479331 0.9884407626333498 38
0.0000723095357125 0.9883784559871269 39
0.0000579164512933 0.9883215673101409 40
0.0000463746340111 0.9882484247254444 41
0.0000371625892085 0.9881861180792215 42
0.0000297131459088 0.9881292294022355 43
0.0000237295481516 0.9880804676791045 44
0.0000189240071063 0.9880262879867369 45
0.0000150291902081 0.9879504364174220 46
0.0000119430963524 0.9878718758634888 47
0.0000095365428218 0.9877716434326086 48
0.0000076122527549 0.9876930828786754 49
0.0000060572963574 0.9875847234939400 50
0.0000048358051092 0.9874655281707311 51
0.0000038278436456 0.9873219519859566 52
0.0000030443406563 0.9872054656473661 53
0.0000024312131383 0.9870808523549204 54
0.0000019416638815 0.9869318582009091 55
0.0000015454288218 0.9867422292776221 56
0.0000012270957045 0.9865607273081903 57
0.0000009847029701 0.9863575534618114 58
0.0000007905085596 0.9860704010922626 59
0.0000006316222237 0.9857561588765299 60
0.0000005100055224 0.9854310807223237 61
0.0000004077241951 0.9850491138911314 62
0.0000003273002472 0.9846292212752816 63
0.0000002622885543 0.9840549165361839 64
0.0000002098868880 0.9834155961662450 65
0.0000001703754712 0.9828250375194370 66
0.0000001398311844 0.9821775901956429 67
0.0000001073253380 0.9813838577024560 68
0.0000000835063987 0.9804628029322050 69
0.0000000655721386 0.9795607110542827 70
0.0000000535225576 0.9785475508070065 71
0.0000000425938678 0.9772905819440757 72
0.0000000367091887 0.9759848513580139 73
0.0000000308245096 0.9744705289563366 74
0.0000000263409445 0.9728613920930157 75
0.0000000210167110 0.9710544993525527 76
0.0000000168133689 0.9692015538735771 77
0.0000000142913635 0.9673404814407464 78
0.0000000112089126 0.9651814206998932 79
0.0000000081264616 0.9628110591588060 80
0.0000000067253475 0.9604054808176800 81
0.0000000044835651 0.9577100411223866 82
0.0000000036428965 0.9547572478883465 83
0.0000000033626738 0.9512545307767742 84
0.0000000025220054 0.9484317688044167 85
0.0000000019615597 0.9454004150164436 86
0.0000000014011141 0.9419031158741080 87
0.0000000005604456 0.9378179670695830 88
0.0000000005604456 0.9319015446630294 89
0.0000000005604456 0.9255625206560077 90
0.0000000002802228 0.9171755042774867 91
0.0000000002802228 0.9101863239620526 92
0.0000000002802228 0.9051178137410536 93
0.0000000002802228 0.8971506899783823 94
0.0000000002802228 0.8820562276847392 95
