FPR TPR th
0.7774633956464754 0.9937574906435888 1
0.7349094968327470 0.9922893857733530 2
0.6891725140427969 0.9907232438500131 3
0.6409344649506715 0.9891129852527762 4
0.5911894736199246 0.9872698886544169 5
0.5405680546068246 0.9854316939087128 6
0.4901890866026731 0.9834586982149903 7
0.4407467033913747 0.9815788377217169 8
0.3933583083290879 0.9797896615025649 9
0.3480637872694287 0.9781426390104140 10
0.3056476154717429 0.9764367942864005 11
0.2664513740254733 0.9747775171626116 12
0.2307762779224550 0.9732309826498925 13
0.1984734429246241 0.9716967027688115 14
0.1696188315902876 0.9702334997512310 15
0.1440972591683148 0.9688217661865302 16
0.1219745870917318 0.9674173854008122 17
0.1024784976148428 0.9661061398155433 18
0.0856464215663790 0.9647385229247394 19
0.0712123551799168 0.9634468847500913 20
0.0589177835750275 0.9621944613966849 21
0.0485055761980898 0.9609322343379680 22
0.0397389177563965 0.9596209887526991 23
0.0323995660585702 0.9583955255888963 24
0.0262865862986208 0.9570769272246445 25
0.0212499929376031 0.9556480371756505 26
0.0170696400097502 0.9540622878416898 27
0.0136391309689472 0.9525427135185743 28
0.0108412966822904 0.9508466724998713 29
0.0085700120285278 0.9489790666382359 30
0.0067367935024111 0.9468688190701675 31
0.0052650136847305 0.9447242585335127 32
0.0040908861325334 0.9423370562904250 33
0.0031804809377788 0.9398077003203361 34
0.0024420910999405 0.9368959998431408 35
0.0018626974264371 0.9336632280170291 36
0.0014117981232493 0.9304231034119346 37
0.0010636886357936 0.9267124009519397 38
0.0007967713856931 0.9224085743206645 39
0.0005930153212709 0.9178523022776458 40
0.0004395720655924 0.9130729959388151 41
0.0003243395100829 0.9075069422488229 42
0.0002385998561764 0.9017840292738640 43
0.0001750738370786 0.8953037800636751 44
0.0001286033803011 0.8884338335673968 45
0.0000950979111398 0.8809094897416478 46
0.0000709192963352 0.8725518309645131 47
0.0000535151020796 0.8634637961417517 48
0.0000409563516756 0.8530277518388074 49
0.0000320261336515 0.8417216286895632 50
0.0000255103367928 0.8294008220406903 51
0.0000209365178228 0.8163864032411050 52
0.0000174525986895 0.8016759434228167 53
0.0000149537697922 0.7858821741677267 54
0.0000129137829258 0.7681840351560872 55
0.0000113806424873 0.7493805283706977 56
0.0000100601215253 0.7283981480800669 57
0.0000089972241619 0.7068888186290008 58
0.0000080875408333 0.6832765943888492 59
0.0000072080602713 0.6569781548936420 60
0.0000064341893833 0.6304297209130191 61
0.0000057261245233 0.5997024575438287 62
0.0000051210690991 0.5687717672894470 63
0.0000045326151957 0.5351328034430614 64
0.0000040297691342 0.5016384442500044 65
0.0000035583259491 0.4649162150834908 66
0.0000031106849443 0.4293067064697103 67
0.0000027246495828 0.3925746735978863 68
0.0000023514153938 0.3540265043173068 69
0.0000020347863900 0.3170101639914806 70
0.0000017455598964 0.2754914720018431 71
0.0000014821357663 0.2368232073312109 72
0.0000012397135600 0.1986377751471169 73
0.0000010434955861 0.1645993103093314 74
0.0000008682795359 0.1313328872647417 75
0.0000007270666006 0.1015590342369899 76
0.0000005882538852 0.0731846601423007 77
0.0000004696430201 0.0481263893688619 78
0.0000003722340973 0.0241367224742591 79
0.0000003044278861 0.0026715096970901 80
0.0000002528231591 0.0013382057748726 81
0.0000002056188351 0.0010171344259563 82
0.0000001630149324 0.0007450816035921 83
0.0000001334122208 0.0005661639816769 84
0.0000001078098756 0.0004142065493653 85
0.0000000856078418 0.0003357769068819 86
0.0000000678062112 0.0002524454117434 87
0.0000000516047270 0.0002034268851913 88
0.0000000336030781 0.0001593102112943 89
0.0000000228020887 0.0001274481690355 90
0.0000000154014108 0.0001053898320871 91
0.0000000112010260 0.0000833314951386 92
0.0000000078007145 0.0000759787161557 93
0.0000000046004214 0.0000563713055349 94
0.0000000034003115 0.0000416657475693 95
0.0000000026002381 0.0000343129685865 96
